field,link,accessible,is_explorable
Math,http://vf.rohanp.xyz/,False,False
Math,https://abstractionapplication.itch.io/probdef,False,False
Math,http://students.brown.edu/seeing-theory/,False,False
Math,https://fivethirtyeight.com/features/science-isnt-broken/#part1,False,False
Math,https://maxgoldste.in/itad/,False,False
Algorithms,https://unwttng.com/compression-decompressed,False,False
Algorithms,https://illustrated-algorithms.now.sh/quicksort,False,False
Algorithms,https://classes.soe.ucsc.edu/cmps179/Spring13/#Week9,False,False
Algorithms,http://bl.ocks.org/jmahabal/raw/8f010c62112dec083b559cb047a51048/,False,False
Algorithms,http://mewo2.com/notes/terrain/,False,False
Algorithms,http://www.bloomberg.com/graphics/2015-paul-ford-what-is-code/,False,False
Algorithms,http://jimkang.com/quadtreevis/,False,False
Algorithms,https://anders.com/blockchain/,False,False
Psychology,https://www.nytimes.com/interactive/2017/04/02/technology/uber-drivers-psychological-tricks.html?_r=0,False,False
Other,http://techno.org/electronic-music-guide/,False,False
Other,https://en.yaronshemesh.com/inequality/,False,False
Tools And Resources,https://harc.ycr.org/flex/,False,False
Tools And Resources,http://www.chorus-home.org,False,False
Tools And Resources,https://www.geogebra.org/materials/,False,False
Tools And Resources,https://harc.ycr.org,False,False
Tools And Resources,http://simblob.blogspot.nl/2014/09/implementing-draggable-handles.html,False,False
Tools And Resources,http://mimno.infosci.cornell.edu/info3300/,False,False
Tools And Resources,http://simblob.blogspot.nl/2016/10/outside-box.html,False,False
Tools And Resources,https://ractive-player.org/,False,False
Tools And Resources,http://simblob.blogspot.nl/search/label/making-of,False,False
Books And Essays,http://www.edwardtufte.com/tufte/books_ei,False,False
Books And Essays,http://www.amazon.com/Topological-Picturebook-George-K-Francis/dp/0387345426,False,False
Books And Essays,http://www.amazon.com/Proofs-without-Words-Exercises-Classroom/dp/0883857006,False,False
Books And Essays,http://www.amazon.com/Relativity-Visualized-Lewis-Carroll-Epstein/dp/093521805X,False,False
Books And Essays,http://www.amazon.com/Shape-Space-Chapman-Applied-Mathematics/dp/0824707095,False,False
Books And Essays,http://web.bentley.edu/empl/c/ncarter/vgt/,False,False
