field,link,accessible,is_explorable
Math,http://setosa.io/ev/image-kernels/,True,True
Math,http://setosa.io/ev/pi/,True,True
Math,http://setosa.io/ev/exponentiation/,True,True
Math,http://euclidthegame.com/,True,True
Math,https://morr.cc/mandelbrot/,True,True
Math,http://vf.rohanp.xyz/,False,False
Math,http://world.mathigon.org/,True,True
Math,http://pomax.github.io/bezierinfo/,True,True
Math,http://mathinsight.org/,True,True
Math,http://jackschaedler.github.io/circles-sines-signals/,True,True
Math,https://epiplexis.xyz/,True,False
Math,http://setosa.io/ev/conditional-probability/,True,True
Math,http://tinlizzie.org/histograms/,True,True
Math,http://www.loper-os.org/bad-at-entropy/manmach.html,True,True
Math,http://rpsychologist.com/d3/CI/,True,True
Math,http://setosa.io/ev/markov-chains/,True,True
Math,http://setosa.io/ev/ordinary-least-squares-regression/,True,True
Math,http://setosa.io/ev/principal-component-analysis/,True,True
Math,https://abstractionapplication.itch.io/probdef,False,False
Math,http://students.brown.edu/seeing-theory/,False,False
Math,https://fivethirtyeight.com/features/science-isnt-broken/#part1,False,False
Math,http://flowingdata.com/2015/09/23/years-you-have-left-to-live-probably/,True,True
Math,http://setosa.io/ev/eigenvectors-and-eigenvalues/,True,True
Math,http://ncase.me/matrix/,True,True
Math,http://immersivemath.com/ila/,True,True
Math,https://maxgoldste.in/itad/,False,False
Math,https://marimo.io/p/@marimo/embedding-visualizer,True,True
Math,https://marimo.io/@public/signal-decomposition,True,True
Math,https://marimo.io/p/@marimo/interactive-matrices,True,True
Math,http://acko.net/blog/how-to-fold-a-julia-fractal/,True,True
Math,http://setosa.io/ev/sine-and-cosine/,True,True
Math,https://marimo.io/@public/surfaces,True,True
Math,http://incredible.pm/,True,True
Algorithms,https://unwttng.com/compression-decompressed,False,False
Algorithms,https://bost.ocks.org/mike/algorithms/,True,True
Algorithms,https://visualgo.net,True,True
Algorithms,https://illustrated-algorithms.now.sh/quicksort,False,False
Algorithms,https://medium.com/@max_goldstein/second-order-controls-5cee5ddc9d2d,True,False
Algorithms,http://distill.pub/2016/misread-tsne/,True,True
Algorithms,http://bevacqua.github.io/promisees/,True,True
Algorithms,http://jackschaedler.github.io/handwriting-recognition/,True,True
Algorithms,https://www.jasondavies.com/bloomfilter/,True,True
Algorithms,http://www.benfrederickson.com/calculating-the-intersection-of-3-or-more-circles/,True,True
Algorithms,http://bl.ocks.org/1wheel/464141fe9b940153e636,True,True
Algorithms,https://morr.cc/split-packing/,True,True
Algorithms,http://roadtolarissa.com/blog/2015/01/04/coloring-maps-with-d3/,True,True
Algorithms,https://classes.soe.ucsc.edu/cmps179/Spring13/#Week9,False,False
Algorithms,http://bl.ocks.org/enjalot/bd552e711b8325c64729,True,True
Algorithms,http://blog.jrheard.com/procedural-dungeon-generation-cellular-automata,True,True
Algorithms,http://www.r2d3.us/visual-intro-to-machine-learning-part-1/,True,True
Algorithms,https://jalammar.github.io/visual-interactive-guide-basics-neural-networks/,True,True
Algorithms,http://neuralnetworksanddeeplearning.com/,True,True
Algorithms,http://playground.tensorflow.org/,True,True
Algorithms,http://distill.pub/2016/augmented-rnns/,True,True
Algorithms,http://distill.pub/2016/handwriting/,True,True
Algorithms,http://bl.ocks.org/jmahabal/raw/8f010c62112dec083b559cb047a51048/,False,False
Algorithms,https://huggingface.co/spaces/marimo-team/seam-carving,True,True
Algorithms,http://www.redblobgames.com/,True,True
Algorithms,http://www.redblobgames.com/pathfinding/a-star/introduction.html,True,True
Algorithms,http://www.redblobgames.com/grids/hexagons/,True,True
Algorithms,http://www.redblobgames.com/pathfinding/grids/graphs.html,True,True
Algorithms,http://mewo2.com/notes/terrain/,False,False
Algorithms,http://gamejolt.com/games/the-stranger-loop/10679,True,True
Algorithms,http://davidbkemp.github.io/QuantumComputingArticle/,True,True
Algorithms,https://thebookofshaders.com/,True,True
Algorithms,http://www.bloomberg.com/graphics/2015-paul-ford-what-is-code/,False,False
Algorithms,https://github.com/ChrisKnott/Algojammer,True,False
Algorithms,http://jimkang.com/quadtreevis/,False,False
Algorithms,https://anders.com/blockchain/,False,False
Science,http://ncase.me/simulating/,True,True
Science,http://ncase.me/neurons/,True,True
Science,http://www.playfulinvention.com/emergence/index.html,True,True
Science,http://internet-atlas.net/,True,False
Science,http://shaunlebron.github.io/visualizing-projections/,True,True
Science,https://aatishb.github.io/entropy/,True,True
Science,http://dood.al/pinktrombone/,True,True
Science,https://ciechanow.ski/gps/,True,True
Science,https://marimo.io/p/@convex-optimization-nasa/trajectory-planning,True,True
Science,https://marimo.io/p/@gvarnavides/stem-probes,True,True
Physics,http://ncase.me/birds/,True,True
Physics,https://arogozhnikov.github.io/2016/12/19/markov_chain_monte_carlo.html,True,True
Physics,https://www.lucify.com/inside-einsteins-head/,True,True
Physics,https://shapescience.xyz/blog/interactive-introduction-to-optical-modulation/,True,True
Physics,http://nuclearsecrecy.com/nukemap/,True,True
Physics,https://phet.colorado.edu/,True,True
Physics,https://www.myphysicslab.com/,True,True
Physics,https://pudding.cool/2018/02/waveforms/,True,True
Physics,https://www.falstad.com/mathphysics.html,True,True
Physics,https://www.falstad.com/circuit/,True,True
Psychology,http://ncase.me/trust/,True,True
Psychology,https://www.theguardian.com/australia-news/datablog/ng-interactive/2017/sep/28/hooked-how-pokies-are-designed-to-be-addictive,True,True
Psychology,https://www.nytimes.com/interactive/2017/04/02/technology/uber-drivers-psychological-tricks.html?_r=0,False,False
Systems And Thought Experiments,https://www.complexity-explorables.org/,True,True
Systems And Thought Experiments,https://manytinythings.github.io/,True,True
Systems And Thought Experiments,http://ncase.me/ballot/,True,True
Systems And Thought Experiments,http://ncase.me/polygons/,True,True
Systems And Thought Experiments,http://noticing.co/on-size-and-warmth/,True,False
Creativity,http://ncase.me/joy-demo/,True,True
Creativity,http://recursivedrawing.com/,True,True
Other,http://techno.org/electronic-music-guide/,False,False
Other,https://learningmusic.ableton.com/,True,True
Other,https://kevinhayeswilson.com/redraw/,True,True
Other,http://type.method.ac/,True,True
Other,https://en.yaronshemesh.com/inequality/,False,False
Other,https://thomas-tanay.github.io/posts/2022-SFCmodel,True,True
Other,http://viruspatterns.com/,True,True
Other,https://ciechanow.ski/mechanical-watch/,True,True
About Explorable Explanations,http://explorableexplanations.com,True,True
About Explorable Explanations,http://worrydream.com/ScientificCommunicationAsSequentialArt/,True,True
About Explorable Explanations,http://worrydream.com/LadderOfAbstraction/,True,True
About Explorable Explanations,http://worrydream.com/ExplorableExplanations/,True,True
About Explorable Explanations,http://michaelnielsen.org/reinventing_explanation/,True,False
About Explorable Explanations,http://blog.ncase.me/explorable-explanations/,True,True
About Explorable Explanations,http://simblob.blogspot.de/2016/12/five-year-mission.html,True,False
About Explorable Explanations,http://blog.ncase.me/i-do-and-i-understand/,True,False
Tools And Resources,http://explorabl.es/,True,True
Tools And Resources,http://aprt.us/,True,True
Tools And Resources,https://github.com/lvm/awesome-livecoding,True,False
Tools And Resources,http://tomasp.net/coeffects/,True,True
Tools And Resources,https://dynamicland.org/,True,False
Tools And Resources,https://harc.ycr.org/flex/,False,False
Tools And Resources,https://github.com/harc/ohm,True,False
Tools And Resources,http://www.chorus-home.org,False,False
Tools And Resources,https://www.geogebra.org/materials/,False,False
Tools And Resources,https://harc.ycr.org,False,False
Tools And Resources,http://blog.ncase.me/how-i-make-an-explorable-explanation/,True,False
Tools And Resources,http://simblob.blogspot.nl/2014/09/implementing-draggable-handles.html,False,False
Tools And Resources,http://ncase.me/improv-wip/,True,True
Tools And Resources,http://mimno.infosci.cornell.edu/info3300/,False,False
Tools And Resources,http://idyll-lang.org/,True,True
Tools And Resources,https://iooxa.dev,True,True
Tools And Resources,http://lively-kernel.org,True,True
Tools And Resources,http://ncase.me/loopy/,True,True
Tools And Resources,http://worrydream.com/Tangle/,True,True
Tools And Resources,http://bollwyvl.github.io/TangleDown/,True,True
Tools And Resources,http://simblob.blogspot.nl/2016/10/outside-box.html,False,False
Tools And Resources,https://ractive-player.org/,False,False
Tools And Resources,http://simblob.blogspot.nl/search/label/making-of,False,False
Tools And Resources,http://www.selflanguage.org,True,False
Tools And Resources,http://marimo.io,True,True
Tools And Resources,https://marimo.io/gallery/,True,True
Tools And Resources,https://marimo.new/,True,True
Books And Essays,http://mindstorms.media.mit.edu/,True,False
